127.0.0.1 - - [19/Dec/2024:02:44:14 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:44:15 +0530] "GET /Login_Page/jk.jsp HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:44:16 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:48:36 +0530] "GET /Login_Page/jk.jsp HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:48:36 +0530] "GET /Login_Page/jk.css HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:48:36 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:49:32 +0530] "GET /Login_Page/jk.jsp HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:49:32 +0530] "GET /Login_Page/jk.css HTTP/1.1" 200 50
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:49:32 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:49:52 +0530] "GET /Login_Page/jk.jsp HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:49:52 +0530] "GET /Login_Page/jk.css HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:49:52 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:50:17 +0530] "GET /Login_Page/jk.jsp HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:50:17 +0530] "GET /Login_Page/jk.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:50:17 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:50:54 +0530] "GET /Login_Page/jk.jsp HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:50:54 +0530] "GET /Login_Page/jk.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2024:02:50:54 +0530] "GET /favicon.ico HTTP/1.1" 404 763
